YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
2000  27.2  33.9  27.3  17.9   5.8  12.2  11.8  -1.8   8.5   5.5  10.4  15.1
2001  23.9   9.8  12.5   0.3  -2.9   0.3  -0.2  -6.0   4.4  -1.7  -6.6 -28.4
2002  -3.1 -18.9 -14.9   4.0   2.3 -11.7   3.2 -24.7 -29.8 -22.6 -27.8 -24.2
2003 -35.7 -16.4 -12.3   5.0   1.4  12.4  -3.9   7.3  -0.8  -0.1   7.4  -1.1
2004 -13.5   6.8  -7.8 -13.2   3.9 -16.8   2.2  -6.0  -5.1  -4.7 -11.7  -1.4
2005  -2.3 -34.6   0.1  -7.9  -3.3   1.8  -9.4   5.4  -2.0  -0.0   6.7  13.1
2006  13.1   5.9  16.5   4.6  10.6  -6.3   0.5  -7.7  -7.4 -16.3 -11.0 -11.7
2007 -22.5  -0.8   6.1  -1.2   1.0   6.1  10.3   5.5   7.6  15.1   3.6  23.1
2008   9.3  33.0  29.1  19.2  14.5   4.7   7.7   5.3   1.8  11.1   8.4  25.1
2009  19.7  20.9  14.7  10.8   9.6-999.9-999.9-999.9-999.9-999.9-999.9 -39.8
2010 -32.7 -35.5 -22.6  -4.7  10.0  15.6  12.1  15.0  20.3  20.8  23.0  34.2
2011  31.4  36.0  27.1  16.6   4.1  -1.6   0.1   3.0   2.4  14.8  12.1  22.9
2012  26.4  29.0  13.3   2.0  -0.7   2.1 -13.0   1.3  -8.0  -5.5  -2.9   7.7
2013  -4.9   1.7  -3.6   9.8   9.6   5.5   9.1  13.0   4.2   1.5   8.2  11.3
2014   3.8   3.3 -17.3 -15.0  -2.0 -11.5  -2.6   4.9   0.6  -3.0   2.5   0.7
2015   1.8  -2.1 -29.0 -16.2 -14.4 -22.5  -6.3 -23.0 -25.8 -23.6 -24.1 -41.4
2016 -31.9 -37.5 -24.7 -14.4  -2.5   1.1   6.6  11.5  11.5  14.1  18.8  18.2
2017  14.7  21.7  17.1   5.8   2.1   9.3  -8.6   3.5  10.0   8.9  14.1  11.4
2018  26.8   0.2   8.4  18.9  15.1  16.1   3.2   5.1   3.6   4.6  -8.0  -4.7
2019 -10.8 -28.5 -18.8 -13.0 -10.5  -5.1   2.1   0.1   8.1   6.4  -1.9  -3.0
2020 -11.3 -20.2   1.8  10.9  11.3  17.6  12.6  13.1  12.6  16.4  19.3  27.6
2021  34.8  17.4  22.7   0.8   2.4  12.7   4.9  15.6  11.4  18.5  21.3  16.6
2022  17.7  24.9  27.8  24.6  23.2  16.1  12.4  19.0  18.4  18.9  20.3  26.2
2023  28.5  22.0  21.7   9.9  -2.7  -4.1 -11.2  -4.9 -12.6-999.9-999.9-999.9
